list it does not mean that the functiones that are defined for list are actually lvegal f,list it does not mean that the functions that are defined for lists are actually legal for
you would have for instance a function like say push define and it will have w parameters,you would have for instance a function like say push define and it will have two parameters
l passot now this callls this function iit which is wy it is called init oit,"value l passed to it now this calls this function init which is why it is called init. so, init"
delete max define for heaps but it is like we have the separate copy of this cton,"delete max define for heaps, but it is like we have the separate copy of this function"
max no matter how the priority queue is actually implemented internally the delate max hol,max no matter how the priority queue is actually implemented internally the delete max should
they ave a concurete data types which we use in our program,they have a concrete data types which we use in our program. 
onot want to look at the implementation and ask whether it is a list or not because we,"not want to look at the implementation and ask whether it is a list or not, because we"
weeks lectures let us revisit what we mean by a data structure,weeks' lectures. let us revisit what we lean by a data structure.
u o the important thing is that we would like,u. the important thing is that we would like
i e plementation but we definitely do not want the implementation to determine the,"to the implementation, but we definitely do not want the implementation to determine how"
that the user sees as a sequence of inserts and delete max the user does not see any difference,that the user sees as a sequence of inserts and delete max the user does not see any difference
a perception that the one is faster than the other but the actual correctness of the implementation,"a perception that the one is faster than the other, but the actual correctness of the implementation"
for input which is shown as a kind of aa thing at the bottom here we have the slot for input,for input which is shown as a kind of a thing at the bottom here we have the slot for input.
ndwe have the way to receivve information about the state of the stack so we cand imagine,and we have the way to receive information about the state of the stack. so we can imagine
eee we only want those operations which the externaly visible interface,"operations, we only want those operations which the externally visible interface or"
the buttons in this case of the black box picture allow us to use,the buttons in this case of the black box picture allow us to use.
se if we wall find de to be an empty dictionary then we can use a function such as d dot values,likewise if we define d to be an empty dictionary then we can use a function such as d dot values
to get the list of vvalues currently stored but we cannot taipulay d as a list,"to get the list of values currently stored, but we cannot manipulate d as a list. so,"
we cannot say d dot append it will give us an error python uses the type information,we cannot say d dot append it will give us an error. python uses the type information
whose behavior is specified without telling us anything about the internal implementation,whose behavior is specified without telling us anything about the internal implementation.
and remove the element at the head of the quueue using the function remove q and for,and remove the element at the head of the queue using the function remove q. and for
possibility as factors we do not have to look at aany number becaus an  because it canot,"possibility as factors we don't have to look at any number bigger than m, because it cannot"
first step in our arithm says to compute the factors of [UNK] so by our observation,"first step in our algorithm says to compute the factors of 14. so, by our observation"
[UNK] did[UNK] ecause  di[UNK]  no remainder now [UNK] does not d,"14 dived by 2 is 7 with no remainder. now 3 does not divide, 4 does not divide, 5 does"
[UNK] divides because [UNK] [UNK]s are [UNK][UNK] then again [UNK] does not divide but [UNK] does then again,"7 divides, because 7 9's are 63. then again 8 does not divides, but 9 does. then again"
a  gap of numbers which do ot divid and then  tdoes ivi woe caus n [UNK] s,"there are large gap of numbers, which do not divide. and then 21 does divide, because 21"
of [UNK] and then finally we find that the last factor that we have is [UNK][UNK] so if,"3's are 63. and then finally, we find that the last factor that we have is 63. so, if"
u here is a very simple way we just go through one of the list say the list of factor,but here is a very simple way. we just go through one of the lists say the list of factors
of [UNK][UNK] and for each item in the list we check fit is a factor of [UNK][UNK],of 14 and for each item in the list we check it is a factor of 63.
