list it does not mean that the functions that are defined for list are actually legal,list it does not mean that the functions that are defined for lists are actually legal for 
you would have for instance a function like say push define and it will have to parameters,you would have for instance a function like say push define and it will have two parameters 
a l pass to now this call this function in it which is why x called init so any,value l passed to it now this calls this function init which is why it is called init so init 
delete max define for keeps but its call like we have a separate copy of this function,delete max define for heaps but it is like we have the separate copy of this function 
it max normal the how the priority queue is actually implemented then in the delete max show,max no matter how the priority queue is actually implemented internally the delete max should 
the other concrete data types which we use a none,they have a concrete data types which we use in our program  
not want to look at the implementation and ask whether its a list of not because we,not want to look at the implementation and ask whether it is a list or not because we 
this weekâ€™s lectures so let us revisit what we mean by data structure so a data structure,weeks' lectures let us revisit what we lean by a data structure 
the important thing is that we would like,u the important thing is that we would like 
implementation but we definitely to do not want the implementation to determine,to the implementation but we definitely do not want the implementation to determine how 
that we use a sees as a sequence of inserts and delete max the user does is the in a different,that the user sees as a sequence of inserts and delete max the user does not see any difference 
the perception that one is pass in the other but the actual correctness of the implementation,a perception that the one is faster than the other but the actual correctness of the implementation 
a for input which shown as a kind of for a thing in the bottom we are if we have is not for input,for input which is shown as a kind of a thing at the bottom here we have the slot for input 
and we have a way to a seen information about the state of the stack so we can imagine,and we have the way to receive information about the state of the stack so we can imagine 
is we only want those operations which the externally visible interface,operations we only want those operations which the externally visible interface or 
the buttons in this case of a black box picture allow us to use,the buttons in this case of the black box picture allow us to use 
twice the we define dd to be an empty dictionary then we can use a function such as d dot values,likewise if we define d to be an empty dictionary then we can use a function such as d dot values 
is to get the list of values currently stored but we cannot manipulate the as a list,to get the list of values currently stored but we cannot manipulate d as a list so 
we cannot say p dot append it will give us an error so python uses the type information,we cannot say d dot append it will give us an error python uses the type information 
whose behavior specified without telling us anything about the internal implementation,whose behavior is specified without telling us anything about the internal implementation 
and remove the element at the end of the queue using the function remove queue and for,and remove the element at the head of the queue using the function remove q and for 
possibilities us factors we do not have to look at any number bigger than n because it cannot,possibility as factors we don't have to look at any number bigger than m because it cannot 
first step in our algorithm says to compute the factors of fourteen so by or observation,first step in our algorithm says to compute the factors of 14 so by our observation 
in this case two divides fourteen because fourteen divided to seven but no remainder now three does not update for de,14 dived by 2 is 7 with no remainder now 3 does not divide 4 does not divide 5 does 
seven divides to the seven nine the sixty three then again eight does not divides but nine does then again or,7 divides because 7 9's are 63 then again 8 does not divides but 9 does then again 
are large gap of numbers which do not divide and then twenty one does divide because twenty one threes,there are large gap of numbers which do not divide and then 21 does divide because 21 
sixty three and then finally we find that the last factor that we have is sixty three so in,3's are 63 and then finally we find that the last factor that we have is 63 so if 
here is a very simple way we just go through one of the lists say the list of factors,but here is a very simple way we just go through one of the lists say the list of factors 
of fourteen and for each item in the list we check if it is a factor of sixty three,of 14 and for each item in the list we check it is a factor of 63 
so in this way we have systematically called through one two seven and fourteen and concluded or copy,in this way we have systematically gone through 1 2 7 and 14 and concluded that of these 
extracted the largest one and this in fact these are gcd so this is an example of how this algorithm,extracted the largest one and this in fact is our gcd this is an example of how this 
having done this now we want to return the largest value of in the us list of common factors remember,and having done this now we want to return the largest value of the list of common factors 
fm and fn l will constructed from one to m and one to n the largest value will also be the,fm and fn where constructed from 1 to m and 1 to n the largest value will also be the 
largest common factor between these two let so earlier we i three abstract statements,largest of common factor between these two lists so earlier we had three abstract statements 
this is a definition so def for definition of a function gcd m n,this is a definition so def for definition of a function gcd m n 
the empty list now we need to test every value in the range one to n,the empty list now we need to test every value in the range 1 to n 
is the peculiar to python this returns not the range you expect but one less so if,of peculiarity of python this returns not the range you except but one less so if 
the experience for this group of people you can describe this algorithm by different levels,the experience of this group of people you can describe this algorithm at different levels 
zero then be will append i to the list fm added to the right append is,is 0 then we will append i to the list fn we will add it to the right append is the 
we just said that for each i in from one to m add i to a from if i divides n and now we are done,we just said that for each i from 1 to m add i to fm if i divides m and now we have done 
in that range we have check if it is a divisor and then add it,in that range we have checked it is a divisor and then add it 
factors of n for every j in this range if it divides we append it and now at this point,factors of n for every j in for this range if it divides we append it now at this point 
so says take a list and add a value which value we had the value that we are looking,throughout just take a list and add a value which value we add the value that we are 
python has a short that this is if you want to count the right then we count,python has a shortcut which says that you want to count from the right then we count 
the numbers minus one minus one so long so it says return the minus one,the numbers as minus 1 minus 2 and so on so it says return the minus 1'th element 
that there are other syntactic things your so there are for example you have a base initially,that are other syntactic things here so there are for example you have these punctuation 
these are all features that make python programs are little easier to read and write then programs,these are all features that make python programs a little easier to read and write then programs 
first important point is that we need a way to keep track of intermediate values so,first important point is that we need a way to keep track of intermediate values so 
all the factors in cf so these are all ways of keeping track of intermediate values this,all the factors in cf so these are all ways of keeping track of intermediate values the 
example m and n are numbers similarly i j and f at each step are numbers these,for example m n are numbers similarly i j and f at each step are numbers so these 
and bottom because it would be very difficult to write a program if we have to keep produce,are important because it would be very difficult to write a program if we had to keep producing 
of n regardless of how we can x so these names can the node then we denote single values,of m regardless of how big m is these names can denote can be denote single values or 
the new factor of n we do not want to throw ignored factor we want to take the exist,a new factor of n we do not want to through any old factor we want to take the existing 
the name fm to a new name which takes the old and six and i at the end of,the name fn to a new name which takes the old name and sticks an i at the end of it 
and in terms of that type ability we describe the algorithm itself,and in terms of that capability we describe the algorithm itself 
of y multiplied by two and assign it to a so we will see this as we go along,value of i multiply it by two and assign it to i so we will see this as we go along 
assignment can either assign a completely new value or to update the value use,but assignment can either assign a completely new value or you could update the value using 
the other part that we need to note is how we execute steps so as we said at the begin,the other part that we are need to note is how we execute steps so we said at the beginning 
instance we have to check for every possible factor from one to n if it divides m and the,for instance we have to check for every possible factor from 1 to m if it divides m and then 
is zero if the remainder of m divided by zero then i append so the step append i to f n,is 0 if the remainder of m divided by a is 0 then append so the step append i to fm 
we have repeated steps the same thing done again and again and we have conditionals,we have repeated steps where same thing done again and again and they have conditionals 
essentially this is a good way of illustrating program,but essentially this is a good way of illustrating programming  
of computation for instance if we use a spreadsheet to a range information and,realm of computation for instance if we use a spreadsheet to arrange information and 
we perform some task so have an consists of a sequence of steps which we can think of a,perform some task an algorithm consists of a sequence of steps which can we think of 
it try to invoke of like it from once t to another city it will offer to a range the fly,try to book a flight from one city to another city it will offer to arrange the flights 
